"","PA.#","PA.Name","Total.GW.AG","Total.GW.Urban","Total.GW.MW","Total.GW.Use","Total.Supply.AG.(includes.Reuse)","Total.Supply.Urban.(includes.Reuse)","Total.Supply.MW.(includes.Reuse)","Year","Region"
"203",702,"San Luis West Side",869.2,5.9,0,875.1,1502.3,15.7,0,"2008","San Joaquin Valley"
"204",703,"Lower Kings-Tulare",1918.1,46.3,0.8,1965.2,2294.8,46.4,27.2,"2008","San Joaquin Valley"
"205",704,"Fresno - Academy",80.4,214.3,0,294.7,503.9,289.1,0,"2008","San Joaquin Valley"
"206",705,"Alta - Orange Cove",543.1,63.3,0,606.4,1001.3,65.6,0,"2008","San Joaquin Valley"
"207",706,"Kaweah Delta",2073.7,114.6,3.3,2191.6,2775.1,117.9,3.3,"2008","San Joaquin Valley"
"208",707,"Uplands",37.7,17.9,0,55.6,38.3,18.9,0,"2008","San Joaquin Valley"
"209",708,"Semitropic - Buena Vista",885.2,22.8,30.1,938.1,1110.2,26.1,47.8,"2008","San Joaquin Valley"
"210",709,"Kern Valley Floor",482.1,33.4,0,515.5,859.8,33.4,0,"2008","San Joaquin Valley"
"211",710,"Kern Delta",814.2,138.4,0,952.6,1276.6,177.8,0,"2008","San Joaquin Valley"
"212",801,"Lassen",112.9,19.4,11.6,143.9,305,22.9,24.1,"2008",NA
"213",802,"Alpine",0.7,19.3,0,20,141.7,24.2,0,"2008",NA
"214",901,"Mono-Owens",147.3,11.2,0,158.5,186.2,12.3,0,"2008","Southern California"
"215",902,"Indian Wells",11.4,19.9,0,31.3,11.4,20.1,0,"2008","Southern California"
"216",903,"Death Valley",10.7,4,0,14.7,10.7,4,0,"2008","Southern California"
"217",904,"Antelope Valley",62.4,66.4,0,128.8,77.9,132.6,0,"2008","Southern California"
"218",905,"Mojave River",56.6,100.8,0,157.4,99.9,134.5,0,"2008","Southern California"
"219",1001,"Twenty-Nine Palms - Lanfair",11.5,14.7,0,26.2,11.5,19.2,0,"2008","Southern California"
"220",1002,"Coachella",20.2,289.1,0,309.3,256.7,416.3,0,"2008","Southern California"
"221",1003,"Chuckwalla",2.8,2,0,4.8,2.8,2.1,0,"2008","Southern California"
"222",1004,"Colorado River",0.6,9.9,0,10.5,788.9,12.9,0,"2008","Southern California"
"223",1005,"Borrego",15.4,7.8,0,23.2,45.5,8.5,0,"2008","Southern California"
"224",1006,"Imperial Valley",0,0.2,0,0.2,2680.6,88.4,30.3,"2008","Southern California"
"225",101,"Upper Klamath",168.2,7.3,2.5,178,546,10.8,234.7,"2009",NA
"226",102,"Lower Klamath",8,5.3,0,13.3,29.8,11.4,0,"2009",NA
"227",103,"Coastal",72.9,17.1,0,90,93.8,46.7,0,"2009",NA
"228",104,"Russian River",51.3,30.8,0,82.1,79.4,86.5,0,"2009",NA
"229",201,"North Bay",58,30.7,0,88.7,77.5,146,0.9,"2009","San Francisco Bay Area"
"230",202,"South Bay",19,164.7,0,183.7,24.4,1100.8,0,"2009","San Francisco Bay Area"
"231",301,"Northern",607.9,122.5,0,730.4,669,150.9,0.4,"2009","Central Coast"
"232",302,"Southern",375,86,0,461,406.8,140.9,0,"2009","Central Coast"
"233",401,"Santa Clara",308.6,95.2,0,403.8,350,263.5,0,"2009","Southern California"
"234",402,"Metropolitan LA",2.9,645.4,0,648.3,5.5,1583.5,27,"2009","Southern California"
"235",403,"Santa Ana",123.9,506.9,0,630.8,148.6,1225.4,5.3,"2009","Southern California"
"236",404,"San Diego",35.9,25.7,0,61.6,249.5,680.4,0,"2009","Southern California"
"237",501,"Shasta - Pit",84.9,11,0,95.9,342.9,16.5,8.8,"2009","Sacramento River Region"
"238",502,"Upper Northwest Valley",5,0.4,0,5.4,12,0.7,0,"2009","Sacramento River Region"
"239",503,"Lower Northwest Valley",274.2,52.6,0,326.8,493.8,64.2,0.2,"2009","Sacramento River Region"
"240",504,"Northeast Valley",194.6,35.6,0,230.2,335.1,78.6,1.2,"2009","Sacramento River Region"
"241",505,"Southwest",41.3,4.4,0,45.7,50.3,8.5,0,"2009","Sacramento River Region"
"242",506,"Colusa Basin",516.5,13.6,9.6,539.7,1753.2,13.6,149.2,"2009","Sacramento River Region"
"243",507,"Butte - Sutter - Yuba",529.9,44.6,11.3,585.8,2510.4,67.8,290.7,"2009","Sacramento River Region"
"244",508,"Southeast",50.8,22.8,0,73.6,337.2,129.1,2.4,"2009","Sacramento River Region"
"245",509,"Central Basin West",549.6,48.9,0,598.5,876.8,77.8,0,"2009","Sacramento River Region"
"246",510,"Sacramento Delta",21.9,6,0,27.9,420.7,34.7,59.4,"2009","Delta Region"
"247",511,"Central Basin East",217.8,171.8,0,389.6,462.3,422.2,0,"2009","Sacramento River Region"
"248",601,"Upper West Side Uplands",1.9,11.8,0,13.7,34.2,95.7,0,"2009","San Joaquin Valley"
"249",602,"San Joaquin Delta",0.6,25,0,25.6,694.7,121,1.8,"2009","Delta Region"
"250",603,"Eastern Valley Floor",272.5,51.2,0,323.7,700.7,129.1,0.8,"2009","Delta Eastside Tributaries"
"251",604,"Sierra Foothills",0.7,2.8,0,3.5,21.9,48.1,0,"2009","Delta Eastside Tributaries"
"252",605,"West Side Uplands",0,0.3,0,0.3,0,0.3,0,"2009","San Joaquin Valley"
"253",606,"Valley West Side",840,28.1,185.3,1053.4,1892.2,31.7,454.9,"2009","San Joaquin Valley"
"254",607,"Upper Valley East Side",178.9,94.5,4.1,277.5,956.2,145.4,12.6,"2009","San Joaquin Valley"
"255",608,"Middle Valley East Side",507.3,72.6,0,579.9,1168.8,72.6,0,"2009","San Joaquin Valley"
"256",609,"Lower Valley East Side",1443.4,96.8,11.7,1551.9,2113.3,97,45.3,"2009","San Joaquin Valley"
"257",610,"East Side Uplands",3.1,15,0,18.1,3.1,15.7,0,"2009","San Joaquin Valley"
"258",701,"Western Uplands",0.3,1.9,0,2.2,0.3,1.9,0,"2009","San Joaquin Valley"
"259",702,"San Luis West Side",1048.7,5.4,0,1054.1,1441.7,14.9,0,"2009","San Joaquin Valley"
"260",703,"Lower Kings-Tulare",1913.4,46.3,0.7,1960.4,2281.7,46.4,30.6,"2009","San Joaquin Valley"
"261",704,"Fresno - Academy",104.8,212.5,0,317.3,538.6,238.1,0,"2009","San Joaquin Valley"
"262",705,"Alta - Orange Cove",645.4,61.6,0,707,1055.8,63.7,0,"2009","San Joaquin Valley"
"263",706,"Kaweah Delta",2057,116,3.3,2176.3,2826.6,118.9,3.3,"2009","San Joaquin Valley"
"264",707,"Uplands",39.5,13.3,0,52.8,40.3,17.8,0,"2009","San Joaquin Valley"
"265",708,"Semitropic - Buena Vista",877.8,22.5,24,924.3,1170.9,24.7,43.6,"2009","San Joaquin Valley"
